Address,Balance,lastTxHeightOnCosmosHub
juno1qy22f8zh9z4xqt4svqd9wc3vtvpentmqvl567v,40.1,8297715
juno1qy0uuxmwerl8dns3z9ke56k4z2zphgny6sdv5g,6000.0,12614919
juno1qy6spcq6hjg4m6znnyva6vz7c7e487pyqq9ns8,419.64,8621345
juno1qytgueuv3rxk6c722hxfjyksyrcecyw9lzqghj,62.04,9807793
juno1qytazsdpxwuxxnzszpn22twh34uk2h0ljgfacz,63.19,12554920
juno1qy305eq6tpc5u9huwq4ktlynewh66jja9662fn,15.47,5777633
juno1qyleurxlht27py539lhs028x5h28pq5x70hpwl,599.2,5947383
juno1q9p62u6jp65mzzss7rhk3m608cs2ep0gamk77u,170.15,9555805
juno1qya4dmxr5vwukfunr4kfk38w9qlnt7lgprjt8k,2.95,8435037
juno1q9ry0eyl7g7v6evx3krjcmyl96g8slaj32xrjf,28.46,5787780
juno1qyw8lx8nkds6exrspmc6rct28nhdm29m6q3f5n,10.99,9250954
juno1qysj6ypln2wxgd2c4m8gw436nm2qytr7g5qzwg,2.0,9448926
juno1qy8trerc9cqfnlul32v2p2nfv5cyxwvhdg0nfq,5.53,6056169
juno1qywf0jc9r5ny4mqeq7dw90ly97kfu0hc7z746j,1.67,12353078
juno1qyd5zjy6m0q4fyagc8fyydkg0vr6xq430tu4n4,129.84,7575203
juno1qy0y4vnkuht9hlfmqmahrzwpw0zcg4ha483zfc,51.79,12481531
juno1qyl5vpxfrpjle57m776x5eas9xqcjmmwn47jlc,39.8,10729104
juno1q9qfp2y4g74stvp9qv22cc2zgsnr5gulxcgxs8,70.33,12041538
juno1qy29mnz0wwyr9mex0gmmersz0lnu44k3gct900,204.57,6351149
juno1qyv8ymxdfxlkx7gj6uwp8zptahfju8jzlgsa8r,32.4,7162622
juno1qyvwrsd6mu9a22gf98lzvj7fptx9vxxdtlnlqy,34.64,9449445
juno1qy7rqa392skqthfwp8e936k7g8r7fprfppqpym,452.94,10974607
juno1qytdn3xcwm0f0wnm0aqzrawzaav5r23ctxtrxj,3.0,12665067
juno1q9r0pkgxhhe5s6nf7hvcz7xkumdfr48xa67m99,14.89,8054542
juno1q9q3vgxh607jeqvx7wad0p27hwu4wh0zhvkwl0,535.2,9245062
juno1q9gx4algxjzsn0efh8rpq55nkp2vdjeqm33ck7,103.6,6798557
juno1q9du35pgh8enhkrw9c8a4ed75j69un5vksvpvh,1.89,12561232
juno1q9teykqeqtzxwa07hf28rhera0f75tk30ft2xt,9.0,8380542
juno1q93faymzgkwy529cksz7mnlg2qydfwg36qdgty,43.95,7870199
juno1q96hu36fvmygqcxr47jr6l725n8ygu9wdnc37p,5.47,6186960
juno1q9saj7ht8etw8whus97j95rmp4lukgmlv82y8h,4.89,Inactive
juno1q96t723gjvkmuv22lsm995gjvg97srkjaf9upx,18.98,8279579
juno1q9e2qw4zrt9tguud2ek9gm5xn0v37ha5vqjgr0,99.38,5500004
juno1q963knz9ahfhdfy48h3ysd0hnvntsqeycvsvzv,1.1,11764775
juno1q90qxrwxj8mqsclhv0ksu0j6tega488dne738y,15.09,11965234
juno1q9hmvn3h5derungjhs3lslvfsmfq0zq03ln75h,11.84,11929946
juno1q940h6wqrz875gman389xvx5dmt0emn8y45xes,10.82,6049753
juno1q9wxafu4dw6cphhynv7gm64mts9ta97z3m6lth,2.0,12243955
juno1q95v4y8tyedw0c436skxe6mr85x8surnxjsqa5,1.67,6208592
juno1q9j6zz0vgurh47jyyjzjvv24crjtkg42uek43d,4.92,10069568
juno1q9ngpvf8837hay9nmf6lkkkz4gxnaq2l7xgd5p,107.97,9901491
juno1q9j6y65sxhfugtmpeqv236lxtqyhwha85zwh02,151.04,12631278
juno1qx4tj66jv9keax3v70rsuxhx9f7zx4a95p57ln,4.9,Inactive
juno1qxydr9ed74thr6nlf2k8txukfq2705rfa45wfw,3.96,Inactive
juno1q8qdjfd7286alxezam45h4mcm9uekdyqw5mlpm,2.61,Inactive
juno1qxzsvtcmggfffusw4mncvszqk52mmxku2jc4ft,3.39,Inactive
juno1qxaw2uekmyfznl97u5rrdsc5r6ep3wdfg4nue8,1.12,Inactive
juno1qxzps9jyjal39cv3qlw9f696h0kp3f4gd4rufp,3.88,Inactive
juno1qx6gpzscdfvhlel4eevnthrye0dla56clku2sg,49.0,Inactive
juno1qx74e44hm0jv03nm0s94hwphh4tajjk56mpxsd,2.58,Inactive
juno1qxr86t6zdap32mtm8nugnx88v2h3kshuke7z7h,20.78,6178866
juno1qxesr648h6z02kf2e9lpkcjj4l0fe82np8nzha,29.83,6171746
juno1q9ag7lh7rvcx8eux6drktc0jjs56q438yt6sxe,1.31,8544369
juno1qxq4tfm7unaq788hljkh922pp70gmxg2vgrtpk,22.82,6623990
juno1qxfcpxm9ts4gqp6rzmwvuarw6jpvepss2feung,2.54,11835797
juno1q9mel8sp5x087483h2my6yrzvl60g8vheppuzm,4.73,11224636
juno1qxylm46gcgvyj9ryx6s53wu8w4tvmfsar54mkk,9.08,10960818
juno1qxf7kmrwe6n4fqnuqua2n78gj5eljxtty7ujy4,60.0,6675626
juno1qxf0rgtzdmsj5e7g7uy5300n36tjfrdka0xtwu,200.95,12662138
juno1qx2lvrtx63xpyl0pnm0gamnxmyy3jdmx66mfzw,10.86,5697895
juno1qx9kcjn66ylqv3qgwwvjgtxacp8raj8knyh29u,50.0,6121478
juno1qxvg9uh4s4dqkdzxuxtt2p9qz0pxxse83r5fyg,6.01,9320892
juno1qxd6ptkhk9uj5gmgqg5h44aleksmrl5y7qsz9l,77.0,7222959
juno1qx20a5g36e6tgypdtchky5sdla83x9e4vkwl4s,9.36,6609216
juno1qx3dcemqa5jcmevvv29nshjf9lrzzhc970nhtv,9.93,9437830
juno1qx3s30609dnuptq9r72ayzqhx6q7ryh6s3kydm,3.88,12277689
juno1qxx89hehssk6dgm5s6qfvmj2q05s5x9g48fge4,59.16,7297110
juno1qxmckk67e55qklmhd8nh4c3rw7y9u9w49fvgxp,18.73,9222146
juno1qxeeyj6wnfty3qrqkmy3yu940g3yxmzupku9c3,5.84,9400148
juno1q8ztr2elq9t58pc9qa6htvndjn52h33hvv863r,18.35,7324912
juno1qxexu38nh86gcvy3amq8zgkdaarg9mjrz4ze4w,4.89,11436468
juno1q8z6flyaxlc4lzk7uh3pdnepukzkf3m9uny54p,2.19,5769378
juno1q9lcsa5kc23mh2ugny0vgkezqaxz2lw9ptzjwz,399.98,7575144
juno1qx4kfyc5hqhst5aw6axpjc2jd58fgyd74ayvnw,6.05,6146453
juno1q8zecrgn6pn8xpcqlkhelqe8g836fka06l8daq,43.69,12173897
juno1qxpvd7rxf7lqq2rgaheg6c7hkjm5kehx9jwyxr,906.21,10121811
juno1qxlet0uqhpqjpsd6espe3vlqkpxakynvcc4zrh,6.33,5884877
juno1q8p8hrffv0l5vauqfw2g5aefyzmlpn3va8fa8e,266.65,11144328
juno1qx4gzyyeg4vmgwez9smpccl3f2xlcw8edmwpyu,580.88,5563119
juno1q9m95063nphxuwvwu43jgmm09dgfmc4mlfqxr0,90.46,12715852
juno1qxw3djucj850rauexvmga6pafyq4r938u52p6v,92.3,5535410
